HGNC_Symbol,log2R_CNA,Z_Score
RN7SL584P,2,-0.0117
SNORA46,3,-0.0064
SNORA44,2,-0.0117
SNORA41,2,-0.0117
SNORA84,2,-0.0117
SNORA81,4,-0.0117
LRSAM1,2,-0.0071
QPRT,3,0.0130
ECSIT,2,0.0010
SNORA7B,2,0.0025
SNORA7A,2,-0.0117
AC002519.1,2,-0.0117
AC002519.2,3,-0.0117
AC103760.1,4,-0.0116
SNORA78,3,-0.0117
SNORA79,4,-0.0113
RN7SL583P,2,-0.0116
SNORA77,4,-0.0088
SNORA74,2,-0.0117
AC095052.1,2,-0.0116
SNORA75,2,-0.0117
RNU6-674P,4,-0.0105
SNORA72,2,-0.0117
SNORA73,2,-0.0117
