"HGNC_Symbol","Cluster"
"RN7SL597P",1
"SNORA75B",1
"AC107220.1",1
"MIR6068",1
"MIR6069",2
"AC113404.1",1
"AC113404.2",1
"AC073387.2",2
"AC073387.1",2
"AL133453.1",1
"SNORA77B",2
"AC131971.1",1
"MIR3936HG",1
"RN7SL596P",1
"FRMPD2B",1
"MEI1",2
"MEI4",1
"AL451140.1",1
"RNU6-686P",1
"ZC3H10",1
"AC020595.1",1
"SNORA70D",1
"GCFC2",1
"SNORA70E",1
"SNORA70F",1
"SNORA70G",1
"SNORA70H",1
"AC006236.1",1
"SNORA70I",1
"AL807757.1",1
"SNORA70J",1
"AL807757.2",1
"RN7SL594P",1
"SNORA70B",1
"Z83820.1",2
"SNORA70C",1
"RNU6-685P",1
"AC091868.1",1
"AC091868.2",1
"AL953883.1",1
"SNORA71E",1
"LIMD1-AS1",1
"SNORA71A",1
"SNORA71B",1
"SNORA71C",1
"UBE3AP2",1
"SNORA71D",1
"AC123786.1",1
"AC123786.2",1
"AC123786.3",1
"AC026117.1",1
"BET1-AS1",2
"MIR6090",1
"AC118345.1",1
"MSRB2",3
"RNU6-687P",1
"MSRB3",3
"AC108099.1",1
"RN7SL592P",1
"MSRB1",3
"AL080312.1",1
"AL080312.2",1
"RNU6-682P",1
"OR7E84P",1
"COL16A1",3
"AC025768.1",1
"AC013489.3",1
"VSTM2A-OT1",1
"AC013489.1",1
"MEN1",3
"RN7SL591P",1
"AC013489.2",1
"RNF43",3
"AL589765.7",1
"RNF44",1
"RNU6-681P",1
"OR7E83P",1
"AL589765.5",1
"AL589765.6",1
"AL589765.3",1
"AL589765.4",1
