HGNC_Symbol,log2R_CNA,Z_Score
IL4I1,2,-0.0089
AL353997.3,3,-0.0090
AL353997.4,3,-0.0090
AL353997.1,3,-0.0090
SNORA38,3,0.0211
AL353997.2,3,-0.0090
AC110809.1,3,-0.0089
RN7SL587P,4,0.0006
AC023090.2,3,-0.0087
SNORA37,3,0.0416
AL353997.5,3,-0.0090
TGIF2P1,3,-0.0085
SNORA35,2,-0.0090
RNU6-678P,5,-0.0079
SNORA32,2,-0.0090
SNORA33,2,-0.0014
SNORA30,2,-0.0082
SNORA31,2,-0.0082
AC023090.1,3,-0.0086
AC026116.1,4,-0.0090
SNORA2C,4,-0.0085
SNORA2A,3,0.0038
SNORA2B,3,-0.0059
AR,2,-0.0076
SNORA29,2,-0.0090
SNORA27,2,-0.0090
SNORA28,4,0.0254
AC106870.1,3,-0.0089
SNORA25,2,-0.0090
RNU6-677P,2,-0.0088
RN7SL586P,4,-0.0086
SNORA26,3,-0.0090
SNORA23,2,0.1645
SNORA24,3,-0.0090
SNORA21,4,-0.0090
SNORA22,2,0.0100
CGGBP1,5,0.0221
GRID2IP,2,-0.0089
SNORA20,2,-0.0047
SNORA61,6,-0.0090
AL353611.2,2,-0.0090
SNORA62,6,-0.0090
SNORA60,4,-0.0090
ACTL7A,2,-0.0089
ACTL7B,2,-0.0090
AL353611.1,2,-0.0090
C2CD4D-AS1,3,-0.0085
SNORA5B,2,-0.0090
AL138789.1,3,-0.0087
C2,3,-0.0089
SNORA5C,2,0.0282
DYNC2LI1,3,-0.0052
C3,2,-0.0089
SNORA5A,2,0.0012
C5,2,-0.0073
C6,3,-0.0090
C7,3,-0.0088
C9,3,-0.0090
SNORA58,5,-0.0058
RN7SL585P,2,-0.0090
SNORA56,2,-0.0090
SNORA57,2,-0.0090
SNORA54,2,0.2164
SNORA55,6,-0.0090
SNORA52,2,-0.0090
SNORA53,3,0.3789
SNORA51,4,-0.0089
PES1P1,3,-0.0090
SEMA6A-AS1,4,-0.0089
PES1P2,2,-0.0090
SEMA6A-AS2,4,-0.0090
CP,5,-0.0080
CS,3,0.0070
SNORA49,3,0.1653
SNORA47,3,0.0015
SNORA48,3,-0.0090
RNU6-679P,3,-0.0090
SNORA46,3,0.0025
AC243591.1,2,-0.0090
RN7SL584P,4,-0.0090
SNORA44,6,-0.0090
SNORA41,3,-0.0090
SNORA84,2,-0.0087
LRSAM1,2,-0.0062
SNORA81,4,-0.0090
QPRT,2,-0.0034
ECSIT,3,0.0047
SNORA7B,5,0.0549
SNORA7A,4,-0.0090
AC002519.1,2,-0.0090
AC002519.2,2,-0.0090
AC103760.1,3,-0.0089
SNORA78,3,-0.0090
SNORA79,4,-0.0068
RN7SL583P,3,-0.0088
SNORA77,3,-0.0055
SNORA74,4,-0.0085
AC095052.1,3,-0.0087
SNORA75,3,-0.0086
RNU6-674P,3,-0.0090
SNORA72,3,-0.0090
SNORA73,3,-0.0088
SNORA70,3,-0.0090
